Plant ID,Plant Code,Botanical Name,Common Name,Previous Name,Plant Type,Water Needs,Climate Zones,Light Needs,Soil Type,Soil Additional,Maintenance,Abcission,Height Ranges,Spread Ranges,Flower colour,Foliage Colour,Perfume,Aromatic,Edible,Bird Attracting,Bird Attractant,Bore water Tolerance,Frost Tolerance,Greywater Tolerance,Native,Butterfly Attracting,Butterfly Type,Image,Image Location,Image Owner,Herb External Have,Herb Images change to ,Notes,Why photo removed,Why plant removed,Actioned By,Date Actioned,Status
2,ABECHI,Abelia chinensis,Chinese Abelia,,Shrub,600 to 900mm,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",,Medium,Evergreen,1 to 2m,1 to 2m,White,Mid green,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,images/2_abelia_chinensis.jpg,Arno King,,,,,,,,Active
3,ABEFLO,Abelia floribunda,Mexican Abelia,,Shrub,600 to 900mm,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",,High,Evergreen,1 to 2m,1 to 2m,Pink,Mid green,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
4,ABEGRA,Abelia x grandiflora,Abelia,,Shrub,600 to 900mm,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",,Medium,Evergreen,1 to 2m,1 to 2m,White,Mid green,Yes,Unknown,Unknown,Unknown,,Unknown,Medium,Unknown,No,Unknown,Unknown,Yes,images/4_abelia_x_grandiflora.jpg,Nursery and Garden Industry Queensland,,,,,,,,Active
5,ABEFRA,Abelia x grandiflora 'Francis Mason',Golden Abelia,,Shrub,600 to 900mm,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",,Medium,Evergreen,1 to 2m,1 to 2m,White,Yellow and green,Yes,Unknown,Unknown,Unknown,,Unknown,Medium,Unknown,No,Unknown,Unknown,Yes,images/5_abelia_frances_mason.jpg,Nursery and Garden Industry Queensland,,,,,,,,Active
6,ABEGOL,Abelia x grandiflora 'Goldsport',Golden Abelia,,Shrub,600 to 900mm,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",,Medium,Evergreen,1 to 2m,1 to 2m,White,Yellow and green,Yes,Unknown,Unknown,Unknown,,Unknown,Medium,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
7,ABEESC,Abelmoschus esculentus,Okra,,"Annual,Vegetable",2000 to 2500mm,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam,Clay",High organic matter,High,Annual,1 to 2m,0.5 to 1m,Yellow,Mid green,Unknown,Unknown,Yes,Unknown,,Unknown,No,Unknown,No,Unknown,Unknown,Yes,images/7_abelmoschus_esculentus.jpg,Arno King,,,,,,,,Active
8,ABEMAN,Abelmoschus manihot,Abika,,Vegetable,900 to 1400mm,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam,Clay",High organic matter,High,Evergreen,1 to 2m,1 to 2m,Yellow,Mid green,Unknown,Unknown,Yes,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,images/8_abelmoschus_manihot.jpg,Arno King,,,,,,,,Active
9,ABEPAL,Abelmoschus manihot 'Red Vein Palm Leaf',Palm Leaf Abika,,Vegetable,1400 to 2000mm,"Humid Tropical,Humid Subtropical",Sun,Loam,High organic matter,High,Evergreen,1 to 2m,1 to 2m,Yellow,Dark green,Unknown,Unknown,Yes,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,No,,,,,,,,,,Active
10,ABEMOS,Abelmoschus moschatus subsp. Tuberosus,Musk Mallow,,Shrub,1400 to 2000mm,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam,Clay",,Medium,Semi-deciduous,0.5 to 1m,1 to 2m,Red,Dark green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/10_abelmoschus_moschatus_tuberosus.jpg,Department of Environment and Resource Management,Sheldon Navie,,,,,,,Active
11,ABEMIS,Abelmoschus rugosus 'Mischief',Rose Musk Mallow,,Shrub,1400 to 2000mm,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam,Clay",,Medium,Evergreen,0.5 to 1m,1 to 2m,Red,Dark green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/11_abelmoschus_rugosus_mischeif.jpg,Arno King,,,,,,,,Active
